,date,spot_volume_daily_sum,spot_selling_volume_sum,spot_buying_volume_sum,AGG_Volume
668,2021-01-26 00:00:00+00:00,7342602200.172549,3679671011.4504914,3662931188.7220583,308736327.6123047
669,2021-01-27 00:00:00+00:00,9482952130.66829,4805535400.354476,4677416730.313813,541071334.0530396
670,2021-01-28 00:00:00+00:00,8329043158.859251,4137914487.330346,4191128671.5289044,389605740.80085754
671,2021-01-29 00:00:00+00:00,22099512490.832756,10885940298.843668,11213572191.98909,670176083.4693909
672,2021-01-30 00:00:00+00:00,7571450577.264235,3773910072.7213235,3797540504.542911,
673,2021-01-31 00:00:00+00:00,5427704083.241718,2798592277.489454,2629111805.7522645,
674,2021-02-01 00:00:00+00:00,6758222410.385314,3315808215.5417385,3442414194.8435755,309620611.9579315
675,2021-02-02 00:00:00+00:00,5598611868.382741,2730354335.6152606,2868257532.7674804,364430392.4446106
676,2021-02-03 00:00:00+00:00,7245380613.134598,3571659305.649873,3673721307.4847255,388722018.02597046
677,2021-02-04 00:00:00+00:00,9205147760.095821,4657519773.757602,4547627986.33822,364180639.21661377
678,2021-02-05 00:00:00+00:00,7373285382.46777,3659093355.1580067,3714192027.309763,295869324.34272766
679,2021-02-06 00:00:00+00:00,9466446641.62068,4523943923.882464,4942502717.738216,
680,2021-02-07 00:00:00+00:00,7597572130.640463,3884577626.8092265,3712994503.8312364,
681,2021-02-08 00:00:00+00:00,14830849194.41681,6908888070.964753,7921961123.452057,1104066833.815384
682,2021-02-09 00:00:00+00:00,13695651820.34955,6756094639.976884,6939557180.372666,668066111.2815857
683,2021-02-10 00:00:00+00:00,11267417981.701426,5521471183.372372,5745946798.329055,637804550.8255005
684,2021-02-11 00:00:00+00:00,10260193113.86439,4935925572.771205,5324267541.093184,567273600.0
685,2021-02-12 00:00:00+00:00,9321916506.762552,4681414221.568835,4640502285.193718,479102794.50531006
686,2021-02-13 00:00:00+00:00,6547468426.261065,3292598474.860907,3254869951.4001575,
687,2021-02-14 00:00:00+00:00,7689887406.2233095,3623415648.762643,4066471757.4606667,
688,2021-02-15 00:00:00+00:00,9079860121.544388,4650498846.198618,4429361275.34577,
689,2021-02-16 00:00:00+00:00,11230951042.609848,5358557648.758788,5872393393.851059,677992459.0065002
690,2021-02-17 00:00:00+00:00,10775985557.774984,5085858979.937878,5690126577.837108,771497790.6455994
691,2021-02-18 00:00:00+00:00,7823900520.436137,3938500438.833776,3885400081.602361,774704652.3460388
692,2021-02-19 00:00:00+00:00,10668254094.937754,4983714482.582583,5684539612.35517,1020804133.7356567
693,2021-02-20 00:00:00+00:00,11411282630.23278,5845106964.897869,5566175665.334911,
694,2021-02-21 00:00:00+00:00,7560965803.572231,3624352276.4223623,3936613527.149869,
695,2021-02-22 00:00:00+00:00,19433202848.891724,9996322626.068975,9436880222.822748,1021315000.0
696,2021-02-23 00:00:00+00:00,24680985823.48059,12684004776.636616,11996981046.843977,1324684324.4094849
697,2021-02-24 00:00:00+00:00,12145045703.72947,6022292094.57981,6122753609.149658,619520019.53125
698,2021-02-25 00:00:00+00:00,10994284929.1046,5600970886.952869,5393314042.1517315,565944449.8672485
699,2021-02-26 00:00:00+00:00,13771187300.735415,7075843128.709367,6695344172.026048,948132016.7446136
700,2021-02-27 00:00:00+00:00,7286068429.587598,3732087623.46572,3553980806.121877,
701,2021-02-28 00:00:00+00:00,9690578835.516037,4955202288.05656,4735376547.459476,
702,2021-03-01 00:00:00+00:00,10390715898.909004,5011295322.82084,5379420576.088163,591554524.0600586
703,2021-03-02 00:00:00+00:00,8075108858.677761,4015903042.2133174,4059205816.4644437,311985748.44703674
704,2021-03-03 00:00:00+00:00,9972730472.454473,4862724911.334095,5110005561.120379,474907926.43013
705,2021-03-04 00:00:00+00:00,10310319553.25843,5203976302.007375,5106343251.251056,698682985.7513428
706,2021-03-05 00:00:00+00:00,9497225028.341808,4754310844.610827,4742914183.730981,1034345741.9830322
707,2021-03-06 00:00:00+00:00,5349755667.609555,2744575728.37826,2605179939.231295,
708,2021-03-07 00:00:00+00:00,6811660842.844645,3391503828.5248556,3420157014.3197894,
709,2021-03-08 00:00:00+00:00,8471990977.852996,4187627873.215021,4284363104.6379747,520674457.4996948
710,2021-03-09 00:00:00+00:00,9574231301.976927,4749362176.214242,4824869125.762686,504575365.0279999
711,2021-03-10 00:00:00+00:00,11884638930.012335,5883874021.546602,6000764908.465734,608287025.9094238
712,2021-03-11 00:00:00+00:00,11135800551.934486,5521925552.659267,5613874999.275218,464476293.2243347
713,2021-03-12 00:00:00+00:00,10760004222.22742,5421368251.296748,5338635970.930672,451955000.0
714,2021-03-13 00:00:00+00:00,12203859197.126905,5681388845.054382,6522470352.072522,
715,2021-03-14 00:00:00+00:00,7580559648.577779,3890306275.0833898,3690253373.4943886,
716,2021-03-15 00:00:00+00:00,14875825231.073519,7566948099.573437,7308877131.500081,509093602.583313
717,2021-03-16 00:00:00+00:00,11165575651.534748,5622421793.217424,5543153858.317324,303712221.7178345
718,2021-03-17 00:00:00+00:00,10321449610.963182,5041135749.965417,5280313860.997765,478089657.434845
719,2021-03-18 00:00:00+00:00,9874208515.753029,4920553865.225337,4953654650.527692,525040068.1907654
720,2021-03-19 00:00:00+00:00,7799734152.4400015,3898163491.320248,3901570661.1197534,342661225.8483887
721,2021-03-20 00:00:00+00:00,7449737162.178576,3698065075.090249,3751672087.0883274,
722,2021-03-21 00:00:00+00:00,7317509274.928757,3663912130.537038,3653597144.391719,
723,2021-03-22 00:00:00+00:00,9372438957.283272,4787372732.942419,4585066224.340852,341144100.0
724,2021-03-23 00:00:00+00:00,8433760232.300756,4243833863.450332,4189926368.850424,537582925.0
725,2021-03-24 00:00:00+00:00,12110265172.142687,6170030536.303559,5940234635.839128,648499500.0
726,2021-03-25 00:00:00+00:00,11817715167.654055,5905014456.139213,5912700711.514841,730485300.0
727,2021-03-26 00:00:00+00:00,9020680394.712048,4398065476.186787,4622614918.52526,407599686.67907715
