,date,blk,age_days,age_sply,CapMrktCurUSD,CapRealUSD,PriceUSD,PriceRealUSD,DailyIssuedNtv,DailyIssuedUSD,AdrActCnt,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValNtv,TxTfrValUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,FeeTotNtv,FeeTotUSD,S2F,inf_pct_ann,SplyCur,DiffMean,notes,PoW_income_btc,PoW_income_usd,AdrDens
997,2011-09-27 00:00:00+00:00,147176.0,997.0,0.35041428523809476,36139736.79869787,44065709.475041844,4.91115779251899,5.988246502089278,6650.0,32659.199320251286,18461.0,5979.0,17359.0,131739.48479284,646993.3973227931,428877.25250801,2106283.860688848,24.70633403468,121.33670491899582,0.27,1.3260126039801272,4.70787361,23.121110165946007,3.0317025399114184,0.32984766375833774,7358699.98999999,1750953.00272281,,6650.0,32659.199320251286,7.136096895771627
998,2011-09-28 00:00:00+00:00,147323.0,998.0,0.3507642852380948,35087555.380928524,44060803.52002179,4.76341532144945,5.981605280963054,7350.0,35011.10261265346,13766.0,5885.0,13780.0,134101.19712546,638779.6970121291,353596.98789304,1684329.3097480824,25.6601587730798,122.22999345051385,0.90270625,4.2999647820181774,4.39503342,20.935369531110375,2.7457086907091566,0.3642046963626436,7366049.98999999,1689334.4045971,,7350.0,35011.10261265346,9.741478797432805
999,2011-09-29 00:00:00+00:00,147448.0,999.0,0.3510619042857138,35222349.98309898,44068559.92490013,4.77766097837522,5.977586368524891,6250.0,29860.381114845124,12324.0,5263.0,11759.0,116189.79566111,555115.4528154756,313297.06070454,1496827.1415677334,26.6431720983536,127.29204367443943,1.01,4.825437588158972,3.30341206,15.782582894556102,3.231693146301365,0.30943531911267264,7372299.98999999,1689334.4045971,,6250.0,29860.381114845124,9.427928891683706
1000,2011-09-30 00:00:00+00:00,147570.0,1000.0,0.35135238047619,37952172.066864,44106905.76296589,5.14368590999416,5.977841513437109,6100.0,31376.484050964373,13620.0,5835.0,12731.0,112712.12566065,579755.7726461766,287450.98016057,1478557.5564659347,22.578821786236,116.13836748613129,1.01381182,5.214729573919535,3.81667071,19.631755354114407,3.3139007365820747,0.3017591893930385,7378399.98999999,1689334.4045971,,6100.0,31376.484050964373,8.275486465539647
1001,2011-10-01 00:00:00+00:00,147713.0,1001.0,0.35169285666666616,37179379.66114728,44071022.46886496,5.03407054471069,5.967195744194675,7150.0,35993.60439468143,13286.0,5316.0,12139.0,118442.42260975,596247.510903918,416890.30079662,2098655.183615844,34.3430513878095,172.8853434068574,1.01059036,5.087383164044573,3.57949369,18.019423749806776,2.8299837110834334,0.35335892432298105,7385549.98999999,1689334.4045971,,7150.0,35993.60439468143,8.914829339887852
1002,2011-10-02 00:00:00+00:00,147834.0,1002.0,0.3519809519047614,37010203.83989706,44041347.211372234,5.00706259672706,5.958296887136109,6050.0,30292.728710198713,11856.0,4957.0,11165.0,92808.91486782,464700.0462774875,322678.13306633,1615669.6108581382,28.9008627914313,144.70842909611648,1.0,5.00706259672706,3.18605542,15.952778924581525,3.3472659300350913,0.2987512856468851,7391599.98999999,1689334.4045971,,6050.0,30292.728710198713,7.828012387636639
1003,2011-10-03 00:00:00+00:00,147979.0,1003.0,0.35232618999999954,37163275.64451765,44039021.228891395,5.02284486031561,5.952144088393858,7250.0,36415.62523728817,14031.0,6407.0,13876.0,121668.41372004,611121.5665164562,404853.93089366,2033518.4859677912,29.1765588709758,146.54932876677663,1.01,5.073073308918766,9.07285772,45.5715567672768,2.795975433160128,0.3576569336554428,7398849.98999999,1689334.4045971,,7250.0,36415.62523728817,8.671400022809493
1004,2011-10-04 00:00:00+00:00,148091.0,1004.0,0.3525928566666662,36702419.32854745,44035888.195434265,4.95680562068966,5.947219341734567,5600.0,27758.111475862093,13371.0,5442.0,11956.0,150409.43082897,745550.3121377712,395880.8813954,1962304.5780242954,33.1114822177484,164.127181166301,1.032006345,5.115454851483392,3.56885208,17.690106049553982,3.622529349315064,0.2760502134203762,7404449.98999999,1689334.4045971,,5600.0,27758.111475862093,11.248929087500562
1005,2011-10-05 00:00:00+00:00,148236.0,1005.0,0.3529380947619043,36206652.00537118,44034590.51074118,4.88506713091759,5.941226786048209,7250.0,35416.73669915253,13475.0,5644.0,12783.0,131036.68450439,640123.0004168139,395058.05423439,1929885.1155446772,30.9049561319244,150.9727853825139,1.01221888,4.944757179982217,3.88064901,18.957230925378887,2.800831361360412,0.35703684762879934,7411699.98999999,1689334.4045971,,7250.0,35416.73669915253,9.724429276763637
1006,2011-10-06 00:00:00+00:00,148364.0,1006.0,0.3532428566666662,35088846.55107889,44033833.04724251,4.73016629573349,5.9359988550440885,6400.0,30273.064292694333,14660.0,5792.0,13394.0,184852.12204844,874381.2774083444,528772.56832814,2501182.180814202,39.4783162855114,186.73900110603256,1.02,4.8247696216481595,8.35296635,39.51091989816599,3.175556502568489,0.3149054344305223,7418099.98999999,1689334.4045971,,6400.0,30273.064292694333,12.609285269334244
