DATE,BOGMBASEW_CHG
1988-11-30,0
1988-12-07,3642
1988-12-14,0
1988-12-21,1463
1988-12-28,0
1989-01-04,3383
1989-01-11,0
1989-01-18,-6125
1989-01-25,0
1989-02-01,-7176
1989-02-08,0
1989-02-15,766
1989-02-22,0
1989-03-01,2420
1989-03-08,0
1989-03-15,1728
1989-03-22,0
1989-03-29,395
1989-04-05,0
1989-04-12,3006
1989-04-19,0
1989-04-26,-1059
1989-05-03,0
1989-05-10,-305
1989-05-17,0
1989-05-24,-1333
1989-05-31,0
1989-06-07,4652
1989-06-14,0
1989-06-21,-2167
1989-06-28,0
1989-07-05,5272
1989-07-12,0
1989-07-19,-2833
1989-07-26,0
1989-08-02,-884
1989-08-09,0
1989-08-16,16
1989-08-23,0
1989-08-30,-77
1989-09-06,0
1989-09-13,1764
1989-09-20,0
1989-09-27,-3531
1989-10-04,0
1989-10-11,3207
1989-10-18,0
1989-10-25,-1406
1989-11-01,0
1989-11-08,3412
1989-11-15,0
1989-11-22,1099
1989-11-29,0
1989-12-06,3909
1989-12-13,0
1989-12-20,2776
1989-12-27,0
1990-01-03,3530
1990-01-10,0
1990-01-17,-5431
1990-01-24,0
1990-01-31,-7753
1990-02-07,0
1990-02-14,2235
1990-02-21,0
1990-02-28,2660
1990-03-07,0
1990-03-14,2637
1990-03-21,0
1990-03-28,273
1990-04-04,0
1990-04-11,5583
1990-04-18,0
1990-04-25,-1544
1990-05-02,0
1990-05-09,703
1990-05-16,0
1990-05-23,-1613
1990-05-30,0
1990-06-06,5582
1990-06-13,0
1990-06-20,-931
1990-06-27,0
1990-07-04,3756
1990-07-11,0
1990-07-18,-1251
1990-07-25,0
1990-08-01,-124
1990-08-08,0
1990-08-15,2064
1990-08-22,0
1990-08-29,935
1990-09-05,0
1990-09-12,3428
1990-09-19,0
1990-09-26,-3181
1990-10-03,0
1990-10-10,3380
1990-10-17,0
1990-10-24,-1945
1990-10-31,0
1990-11-07,4583
1990-11-14,0
1990-11-21,1737
1990-11-28,0
1990-12-05,2033
1990-12-12,0
1990-12-19,-2093
1990-12-26,0
1991-01-02,1088
1991-01-09,0
1991-01-16,-6726
1991-01-23,0
1991-01-30,-3884
1991-02-06,0
1991-02-13,2302
1991-02-20,0
1991-02-27,1309
1991-03-06,0
1991-03-13,3671
1991-03-20,0
1991-03-27,-692
1991-04-03,0
1991-04-10,4173
1991-04-17,0
1991-04-24,-2400
1991-05-01,0
1991-05-08,1243
1991-05-15,0
1991-05-22,-487
1991-05-29,0
1991-06-05,4064
1991-06-12,0
1991-06-19,-510
1991-06-26,0
1991-07-03,3233
1991-07-10,0
1991-07-17,-784
1991-07-24,0
1991-07-31,-667
1991-08-07,0
1991-08-14,678
1991-08-21,0
1991-08-28,956
1991-09-04,0
1991-09-11,3113
1991-09-18,0
1991-09-25,-4312
1991-10-02,0
1991-10-09,3756
1991-10-16,0
1991-10-23,-552
1991-10-30,0
1991-11-06,4881
1991-11-13,0
1991-11-20,172
1991-11-27,0
1991-12-04,5795
1991-12-11,0
1991-12-18,1516
1991-12-25,0
1992-01-01,3781
1992-01-08,0
1992-01-15,-5564
1992-01-22,0
1992-01-29,-5940
1992-02-05,0
1992-02-12,4184
1992-02-19,0
1992-02-26,815
1992-03-04,0
1992-03-11,4239
1992-03-18,0
1992-03-25,-1415
1992-04-01,0
1992-04-08,-2209
1992-04-15,0
1992-04-22,-214
1992-04-29,0
1992-05-06,1375
1992-05-13,0
1992-05-20,-90
1992-05-27,0
1992-06-03,2482
1992-06-10,0
1992-06-17,196
1992-06-24,0
1992-07-01,1513
1992-07-08,0
1992-07-15,2884
1992-07-22,0
1992-07-29,-310
1992-08-05,0
1992-08-12,2558
1992-08-19,0
1992-08-26,-945
1992-09-02,0
1992-09-09,6096
1992-09-16,0
1992-09-23,-2887
1992-09-30,0
1992-10-07,3595
1992-10-14,0
1992-10-21,84
1992-10-28,0
1992-11-04,4107
1992-11-11,0
1992-11-18,3459
1992-11-25,0
1992-12-02,1062
1992-12-09,0
1992-12-16,3253
1992-12-23,0
1992-12-30,5882
1993-01-06,0
1993-01-13,-5422
1993-01-20,0
1993-01-27,-6169
1993-02-03,0
1993-02-10,3786
1993-02-17,0
1993-02-24,1355
1993-03-03,0
1993-03-10,1722
1993-03-17,0
1993-03-24,899
1993-03-31,0
1993-04-07,4683
1993-04-14,0
1993-04-21,1606
1993-04-28,0
1993-05-05,-1105
1993-05-12,0
1993-05-19,2732
1993-05-26,0
1993-06-02,3744
1993-06-09,0
1993-06-16,444
1993-06-23,0
1993-06-30,2089
1993-07-07,0
1993-07-14,3509
1993-07-21,0
1993-07-28,-3630
1993-08-04,0
1993-08-11,4205
1993-08-18,0
1993-08-25,-537
1993-09-01,0
1993-09-08,4586
1993-09-15,0
1993-09-22,-1956
1993-09-29,0
1993-10-06,3820
1993-10-13,0
1993-10-20,1115
1993-10-27,0
1993-11-03,49
1993-11-10,0
1993-11-17,4272
1993-11-24,0
1993-12-01,1875
1993-12-08,0
1993-12-15,2947
1993-12-22,0
1993-12-29,5401
1994-01-05,0
1994-01-12,-3987
1994-01-19,0
1994-01-26,-5429
1994-02-02,0
1994-02-09,3167
1994-02-16,0
1994-02-23,2729
1994-03-02,0
1994-03-09,390
1994-03-16,0
1994-03-23,1038
1994-03-30,0
1994-04-06,5357
1994-04-13,0
1994-04-20,1213
1994-04-27,0
1994-05-04,-2360
1994-05-11,0
1994-05-18,1623
1994-05-25,0
1994-06-01,3570
1994-06-08,0
1994-06-15,522
1994-06-22,0
1994-06-29,2495
1994-07-06,0
1994-07-13,3381
1994-07-20,0
1994-07-27,-3598
1994-08-03,0
1994-08-10,2607
1994-08-17,0
1994-08-24,-963
1994-08-31,0
1994-09-07,3363
1994-09-14,0
1994-09-21,-3127
1994-09-28,0
1994-10-05,2760
1994-10-12,0
1994-10-19,1063
1994-10-26,0
1994-11-02,275
1994-11-09,0
1994-11-16,5050
1994-11-23,0
1994-11-30,887
1994-12-07,0
1994-12-14,1487
1994-12-21,0
1994-12-28,6448
1995-01-04,0
1995-01-11,-4144
1995-01-18,0
1995-01-25,-8016
1995-02-01,0
1995-02-08,957
1995-02-15,0
1995-02-22,2024
1995-03-01,0
1995-03-08,2737
1995-03-15,0
1995-03-22,1707
1995-03-29,0
1995-04-05,2852
1995-04-12,0
1995-04-19,4201
1995-04-26,0
1995-05-03,-2177
1995-05-10,0
1995-05-17,554
1995-05-24,0
1995-05-31,1324
1995-06-07,0
1995-06-14,-446
1995-06-21,0
1995-06-28,-79
1995-07-05,0
1995-07-12,3197
1995-07-19,0
1995-07-26,-3755
1995-08-02,0
1995-08-09,2356
1995-08-16,0
1995-08-23,-1842
1995-08-30,0
1995-09-06,3230
1995-09-13,0
1995-09-20,-2907
1995-09-27,0
1995-10-04,1064
1995-10-11,0
1995-10-18,1328
1995-10-25,0
1995-11-01,-1638
1995-11-08,0
1995-11-15,3424
1995-11-22,0
1995-11-29,3233
1995-12-06,0
1995-12-13,816
1995-12-20,0
1995-12-27,7905
1996-01-03,0
1996-01-10,-5342
1996-01-17,0
1996-01-24,-10053
1996-01-31,0
1996-02-07,-1439
1996-02-14,0
1996-02-21,2634
1996-02-28,0
1996-03-06,2537
1996-03-13,0
1996-03-20,1197
1996-03-27,0
1996-04-03,2517
1996-04-10,0
1996-04-17,1456
1996-04-24,0
1996-05-01,-3715
1996-05-08,0
1996-05-15,1758
1996-05-22,0
1996-05-29,2824
1996-06-05,0
1996-06-12,329
1996-06-19,0
1996-06-26,1847
1996-07-03,0
1996-07-10,4340
1996-07-17,0
1996-07-24,-3845
1996-07-31,0
1996-08-07,2550
1996-08-14,0
1996-08-21,-201
1996-08-28,0
1996-09-04,3399
1996-09-11,0
1996-09-18,-3011
1996-09-25,0
1996-10-02,-181
1996-10-09,0
1996-10-16,2899
1996-10-23,0
1996-10-30,-1008
1996-11-06,0
1996-11-13,4118
1996-11-20,0
1996-11-27,3378
1996-12-04,0
1996-12-11,2278
1996-12-18,0
1996-12-25,6880
1997-01-01,0
1997-01-08,-2555
1997-01-15,0
1997-01-22,-8236
1997-01-29,0
1997-02-05,-247
1997-02-12,0
1997-02-19,2935
1997-02-26,0
1997-03-05,436
1997-03-12,0
1997-03-19,356
